country,continent,total_deaths_per_million,median_age,life_expectancy,gdp_per_capita,hospital_beds_per_thousand,health_expenditure_per_capita,health_expenditure_pct_gdp,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population_density,diabetes_prevalence,total_cases_per_million,stringency_index
Afghanistan,Asia,197.09776,16.75200080871582,65.61699676513672,1983.8126220703125,0.3499999940395355,81.52112579,21.50844383,45.270844,6.727495,61.3286907992579,11.699999809265137,5796.4683,27.3945802919708
Albania,Europe,1275.9874,35.94300079345703,78.768798828125,21641.07421875,2.900000095367432,465.57043457,7.35750389,45.24426,14.230054,90.8672262773723,10.600000381469728,119264.51,41.78210766423358
Algeria,Africa,151.30595,27.982999801635746,76.12889862060547,15501.919921875,1.6100000143051147,208.93911743,5.02188873,14.251447,1.2657961,18.7934447084904,17.5,5990.669,48.36772810218978
American Samoa,Oceania,702.9877,27.927000045776367,72.7520980834961,,,,,,,246.125,,172831.6,
Andorra,Europe,1994.4307,42.83200073242188,84.01640319824219,65928.3046875,,3668.44750977,8.64671707,67.10946,54.026493,166.731914893617,10.100000381469728,602280.44,33.4867700729927
Angola,Africa,54.35663,16.389999389648438,64.24549865722656,8901.8876953125,0.75,66.94487,2.73987103,26.965265,8.606956,27.6990687414775,4.900000095367432,3016.3298,51.621733576642335
Anguilla,North America,844.9514,37.77299880981445,79.11940002441406,,,,,73.10238,23.299536,,,274890.88,
Antigua and Barbuda,North America,1572.4286,35.071998596191406,77.4832992553711,29371.638671875,3.4200000762939453,835.06512451,4.81315422,67.187935,10.595584,209.884090909091,11.600000381469728,98072.16,
Argentina,South America,2881.5688,31.73900032043457,75.80609893798828,26771.96484375,3.359999895095825,1182.15930176,11.00910187,76.860214,83.05403,16.5573305708721,14.0,222854.31,52.42909671532847
Armenia,Asia,3049.4155,35.814998626708984,74.63330078125,20078.78515625,4.239999771118164,595.83544922,12.32268524,35.779274,2.8239288,105.056940272915,7.699999809265137,157903.14,
Aruba,North America,2708.921,40.766998291015625,76.22579956054688,44558.9296875,,,,78.26926,,598.333333333333,4.599999904632568,410271.62,38.25028284671533
Australia,Oceania,963.1698,37.512001037597656,82.76619720458984,60303.98046875,3.819999933242798,7092.13476563,10.51612186,82.62102,75.53329,3.33922844714392,7.400000095367432,452699.0,47.19702554744526
Austria,Europe,2485.9128,42.83200073242188,81.2958984375,63788.078125,6.699999809265137,6554.14257813,12.185215,73.72863,59.637707,108.528805138148,5.400000095367432,671153.44,49.143120437956206
Azerbaijan,Asia,1005.6038,32.0620002746582,74.125,22072.1484375,3.680000066757202,250.9887085,4.68526697,47.230198,32.660057,122.658802177858,10.199999809265137,81251.586,59.99155109489052
Bahamas,North America,2135.6233,34.23400115966797,74.49109649658203,36244.05078125,2.1700000762939453,1946.21960449,6.78537178,42.0011,9.2983885,39.5977022977023,8.899999618530273,98422.305,52.295
Bahrain,Asia,1001.6564,31.683000564575195,80.99210357666016,58891.83203125,1.840000033378601,1176.92102051,4.32771444,80.00182,65.77694,1904.25949367089,22.100000381469727,454275.94,37.79302919708029
Bangladesh,Asia,174.34259,24.989999771118164,74.26470184326172,8486.78515625,0.9200000166893004,56.09640121,2.26678729,83.95181,40.508484,1287.99918568026,13.199999809265137,12116.075,49.97339416058394
Barbados,North America,2100.4236,38.652000427246094,75.67610168457031,21837.724609375,6.400000095367432,1391.49853516,7.4427762,54.91811,22.260948,656.155813953488,13.199999809265137,386584.22,47.84323905109489
Belarus,Europe,775.95264,40.19200134277344,74.36119842529297,29040.97265625,9.770000457763672,484.03930664,6.56549978,69.931625,62.403503,45.8368317319537,5.099999904632568,108369.78,23.35875912408759
Belgium,Europe,2949.6262,41.1510009765625,81.15889739990234,63347.78515625,5.420000076293945,5847.17333984,11.28825092,78.77591,116.44681,379.949990161999,5.900000095367432,421601.22,39.04728102189781
Belize,North America,1708.294,25.520999908447266,72.19039916992188,12621.408203125,1.0,308.93920898,5.04598379,54.992664,13.208985,17.3321350284963,14.100000381469728,177516.08,48.01630474452555
Benin,Africa,11.8463545,17.645999908447266,60.47510147094727,3901.325927734375,0.4300000071525574,38.45053101,2.91589761,19.934122,0.0,118.955454061724,8.100000381469727,2037.573,32.174443430656936
Bermuda,North America,2547.397,44.70299911499024,82.06159973144531,109311.9375,,,,73.576546,55.318657,1197.18518518519,13.399999618530272,291175.2,39.40254562043796
Bhutan,Asia,26.891325,28.809999465942383,72.75399780273438,14610.2958984375,2.1600000858306885,161.46617126,4.78581429,86.778175,81.26827,20.3314630309386,12.0,80615.07,50.683649635036495
Bolivia,South America,1853.8304,24.39200019836425,67.43419647216797,11329.1513671875,1.4900000095367432,276.20880127,8.16016769,51.01023,17.947844,11.0194405981723,3.400000095367432,100370.07,42.2929197080292
Bonaire Sint Eustatius and Saba,North America,1430.8647,39.77299880981445,78.15450286865234,,,,,58.407204,,,,416067.56,
Bosnia and Herzegovina,Europe,5123.2495,44.55899810791016,76.7771987915039,20527.693359375,2.3499999046325684,697.07427979,9.55514336,26.400383,3.7609189,63.37708984375,10.300000190734863,126151.01,38.6827098540146
Botswana,Africa,1148.0002,22.60400009155273,68.74870300292969,18068.505859375,2.359999895095825,492.14276123,6.30315065,68.17876,20.935696,4.23736347114146,4.599999904632568,135538.2,36.4909306569343
Brazil,South America,3347.3113,33.50600051879883,74.87190246582031,19652.365234375,2.5199999809265137,768.27075195,9.63646507,83.76549,60.097355,25.0714027283582,10.600000381469728,180805.06,48.54258211678832
British Virgin Islands,North America,1669.0137,37.119998931884766,77.177001953125,,,,,47.621655,9.716789,252.06,,199786.16,
Brunei,Asia,399.67148,31.275999069213867,72.91709899902344,79071.734375,3.5799999237060547,665.87030029,2.14748693,98.09827,74.766235,85.715559772296,13.699999809265137,769806.8,39.496021897810216
Bulgaria,Europe,5681.0405,44.15399932861328,74.0342025756836,34221.53125,8.199999809265137,1109.10290527,8.58048916,30.443129,11.257626,59.9419767870302,7.400000095367432,196472.47,36.167572992700734
Burkina Faso,Africa,17.77064,17.041000366210938,60.70000076293945,2547.67236328125,0.2000000029802322,63.59171295,7.08691931,23.245539,0.018019428,80.3919700292398,4.5,987.6477,20.494908759124087
Burundi,Africa,1.126033,15.67199993133545,62.88190078735352,1051.25927734375,0.6899999976158142,23.11420059,8.94190311,0.27265763,0.0023571623,504.886331775701,4.300000190734863,4096.433,15.849945255474454
Cambodia,Asia,177.65665,25.59600067138672,70.52799987792969,7008.88916015625,0.7300000190734863,137.38909912,6.33888054,85.417465,62.683903,96.160803308407,7.5,8099.5386,45.121569343065694
Cameroon,Africa,71.43692,17.62299919128418,62.44279861450195,4916.93359375,2.650000095367432,72.59731293,4.34109783,11.570632,2.9079967,56.9392608576083,6.900000095367432,4535.376,31.54181569343066
Canada,North America,1424.0135,40.25299835205078,81.24929809570312,56706.82421875,2.539999961853028,6511.46972656,12.38106632,81.80634,89.87417,4.351026204103,7.699999809265137,124134.44,50.31122262773722
Cape Verde,Africa,802.3088,27.32200050354004,75.90679931640625,9848.953125,2.2100000381469727,262.42272949,6.60773611,59.39779,0.14410774,128.200744416873,6.800000190734863,124194.32,48.15736313868613
Cayman Islands,North America,516.6876,37.499000549316406,79.98410034179688,79675.859375,,,,84.75911,33.604244,292.116666666667,11.100000381469728,439491.7,
Central African Republic,Africa,22.16539,14.29800033569336,18.817699432373047,1111.2193603515625,1.0,46.25038147,9.15097523,48.74395,7.1835675,8.20588140871296,7.599999904632568,3039.0122,23.903476277372263
Chad,Africa,10.511874,15.10200023651123,54.52750015258789,2412.865966796875,0.1500000059604644,37.59156799,3.9722333,27.202782,21.90465,14.1584124841169,7.300000190734863,417.33228,36.31362226277373
Chile,South America,3298.5676,35.5260009765625,79.17620086669922,30182.787109375,1.940000057220459,1576.69287109,9.72450161,90.523636,140.51492,26.192118041714,12.199999809265137,276710.22,51.38692518248176
China,Asia,85.882515,38.53400039672852,78.20210266113281,23845.619140625,5.630000114440918,670.25897217,5.25590324,90.12756,58.523163,150.439753691066,11.899999618530272,69732.8,73.31321167883212
Colombia,South America,2760.2952,31.18099975585937,76.50810241699219,18477.21484375,1.7000000476837158,568.84130859,9.14150524,71.90879,28.884434,46.1362532672375,8.399999618530273,123764.08,50.66514598540146
Comoros,Africa,193.00136,20.10199928283692,66.48059844970703,3482.534912109375,,100.50016785,6.46315002,47.60061,0.0,439.642127888232,10.800000190734863,10919.562,
Congo,Africa,64.45622,18.20199966430664,65.00029754638672,6181.470703125,,78.60149384,3.46133351,10.838571,0.0,17.2538301610542,8.100000381469727,4181.2036,43.53104927007299
Cook Islands,Oceania,135.6208,34.10900115966797,75.07869720458984,,,,,99.87116,69.43785,,,500101.72,
Costa Rica,North America,1848.9642,33.5359992980957,79.31639862060547,26973.435546875,1.1399999856948853,977.14831543,7.61130476,85.98951,58.769493,99.0988640814728,9.800000190734863,244547.77,43.3070802919708
Cote d'Ivoire,Africa,,17.992000579833984,61.562198638916016,6747.0380859375,,92.39588928,3.76207662,40.020737,10.326407,93.2067169811321,5.0,,24.87639598540146
Croatia,Europe,4813.1177,44.61100006103516,78.27790069580078,42829.19921875,5.599999904632568,1423.52905273,8.08265686,57.63479,25.495012,69.3170300214439,10.5,351078.1,33.40400547445255
Cuba,North America,771.26013,41.505001068115234,77.62909698486328,,4.329999923706055,,13.78746605,90.90253,79.501434,107.149980732177,9.399999618530272,100709.94,48.01255474452555
Curacao,North America,1645.5355,37.95399856567383,76.72869873046875,28762.05859375,,,,54.42946,26.55139,346.72972972973,13.399999618530272,247547.88,
Cyprus,Europe,1450.4836,37.3390007019043,80.43370056152344,52635.58203125,2.150000095367432,2947.81494141,8.87445068,69.774,55.299793,142.565909090909,10.0,764467.6,45.09606751824818
Czechia,Europe,4116.004,42.64500045776367,79.16480255126953,47963.8984375,6.539999961853027,2538.03344727,9.15420723,64.60811,52.293404,136.108349053848,7.599999904632568,457906.6,39.48719890510949
Democratic Republic of Congo,Africa,14.394957,15.765999794006348,60.97890090942383,1602.074951171875,,21.58848572,3.86727977,14.062447,0.0,43.7347795593392,7.699999809265137,986.45496,37.43197080291971
Denmark,Europe,1696.1152,41.21599960327149,81.29060363769531,71431.2890625,2.430000066757202,7429.99023438,10.65575886,79.82519,61.27506,146.418325,6.400000095367432,585081.8,35.377308394160586
Djibouti,Africa,166.21214,24.084999084472656,65.54019927978516,6871.12451171875,1.399999976158142,86.88237762,2.87128091,35.28341,0.0,48.3713546160483,6.5,13798.247,39.84058394160584
Dominica,North America,1107.0055,35.29499816894531,71.08059692382812,18739.36328125,3.9700000286102295,521.41455078,6.31142521,45.864437,5.973342,89.6026666666667,12.899999618530272,240055.66,39.84109489051095
Dominican Republic,North America,390.3574,27.316999435424805,74.21080017089844,24229.888671875,0.75,433.89172363,5.08839989,54.586662,22.929419,230.786990834893,17.600000381469727,58865.52,45.041660583941606
East Timor,Asia,100.781494,20.63999938964844,67.36840057373047,3890.95751953125,0.3799999952316284,132.07870483,4.9192977,58.552513,24.844902,90.7961667787492,3.200000047683716,17132.854,36.23715328467153
Ecuador,South America,2023.3507,27.975000381469727,76.57669830322266,13935.5390625,1.3200000524520874,507.65136719,8.37526226,79.94636,59.217827,71.1968674504751,4.900000095367432,60715.78,47.73926094890511
Egypt,Africa,220.47935,23.8129997253418,71.00969696044922,16798.15234375,1.059999942779541,176.93664551,4.60955143,37.59353,13.512332,111.464169973379,22.39999961853028,4582.0547,43.27303832116788
El Salvador,North America,673.53296,26.51000022888184,71.96949768066406,11669.08203125,1.2100000381469729,470.14025879,10.12668991,70.025406,36.49963,301.919980694981,12.699999809265137,32174.496,41.40949817518248
Equatorial Guinea,Africa,101.466606,21.016000747680664,63.35449981689453,15454.4287109375,,243.81242371,3.5103004,11.867269,0.25488633,62.7018181818182,8.199999809265137,9497.939,
Eritrea,Africa,30.210152,18.405000686645508,67.78919982910156,,1.0199999809265137,27.58759499,4.17839003,,,27.6467466920618,4.400000095367432,2988.4585,61.98833029197081
Estonia,Europe,2549.454,41.625,78.16739654541016,41189.66796875,4.130000114440918,2091.15649414,7.47591066,63.90219,48.838562,31.1329122807018,6.900000095367432,457624.78,32.01828467153285
Eswatini,Africa,1170.7075,21.76799964904785,63.02830123901367,10380.396484375,2.0199999809265137,297.72213745,7.40552139,35.058464,14.722037,70.1507558139535,7.900000095367432,61821.89,48.58365875912409
